No,Tweet,Label
29,"@Heraloebss tambah anggaran, pengen ganti  aipon 14 pro max yg dikenal aman",Netral
30,"@GunRomli Gus bolehkah saya minta, gus juga kritik mega yang nangis nagis ketika bbm naik di era sby dan diam diera jokowi, dan apakah berani kritik puan yang sok maunya sendiri tampa memikirkan rakyat?",Kontra
31,BBM naik Listrik naik Sembako naik Sekarang bapak turun pak gantian. #Septemberberdarah #BBMNaikRakyatRevolusi,Kontra
32,".. bbm ga tekor? mau kayak srilanka?  tapi kan harga naik klo bbm naik, biaya hidup makin tinggi???  ya itu dah hampir pasti, tidak ada yg lebih baik, bbm naik biaya hidup naik, bbm tdk naik dijamin stok bbm akan berkurang. sekarang kita cuma harus mikir mana ...",Kontra
33,"@MataNajwa BBM itu kalau memang harus ikut harga pasar maka ikut saja daripada naik turun subsidi selalu dibilang membebani APBN tapiiii semua gaji dan UMP, UMK juga harus naik sebesar yg sama kalau perlu lebih besar. Aman pasti.",Kontra
34,Kita siap memperjuangkan hak hak rakyat yang hari ini tertindak oleh para rezim yang membabi buta menghantam anggaran dengan dalih mensejahterakan rakyat. #BBMNaik_RakyatMenjerit  https://t.co/kwaAQRFnjl,Kontra
35,Mau naik berat badan 1-3kg/minggu dengan cara sehat dan alami MRPRO solusinya ORDER SMS/WA 082236790939 BBM D2F894C0  https://t.co/caxslyJIfr,Netral
36,@MCAOps Tidak berpengaruh pd pemerintahan sekarang.. Suka atau tidak BBM tetap naik...🙏 Kecuali thn 98,Netral
37,@XXambitions @twitkocheng Ini pas waktu BBM udah naik,Kontra
38,"mas, klo kamu pinter harusnya tuitnya ga gini. ga ada yg mau bbm naik, sy juga kerasa bgt, biasahya isi 250 full tank skrg ga bisa.  cuma mbok bayangin. klo negara udah ga bisa impor bbm lagi krn duit habis buat nutup subsidi, apa iya kita bakal dijatah 1 liter perhari demi...",Kontra
39,Terakhir isi bensin di pom adalah 13 hari lalu when harga bbm belum naik.. 30k dah full dan 10knya jajan teabreak. Skrg 40k baru full dan ga bisa jajan lgi. Ancok 🙃,Kontra
40,"@zoelfick Mas bjorka bikin saya ovt deh. Dia muncul pas chaos2nya Indo, mulai kasus sambo sampe naik nya BBM. Tp yg dia bobol dan bocorin mlah data2 anggota instansi lain yg kasusnya udh pd tenggelam. Knp ga bocorin data sambo aja sama antek2nya? Atau bocorin data presiden sekalian",Kontra
41,@anggorosabdo @er_wanty @DrEvaChaniago @PengacaraOgiMks Skenarionya BBM naik,Kontra
42,"@ZulkifliLubis69 @msaid_didu Sampai kapan setiap kali BBM naik demo, sekalipun iblis yg jadi presiden ataupun malaikat gak bakalan harga BBM tetap selamanya tentu akan fluktuatif mana ada barang dagangan gak naik turun ?",Kontra
43,BBM NAIK BPJS PUN NAIK @DrEvaChaniago,Kontra
44,"sebenernya negeri ini cuma muter muter aja isinya, dari jaman Abdurahman wahid jadi presiden ketika ada isu BBM mau naik, cuma ada 2 alasan isinya.  Yang pertama : Subsidi salah sasaran  Yang kedua : Takut Apbn Meledak. Selama 22 tahun ngada tuh yang namanya perbaikan.",Kontra
45,"@susipudjiastuti @Anjing_Peking Pekara BBM naik, emosi juga naik kayaknya bu",Kontra
46,"BBM naik tinggi, solusi: tambah anggaran KL Hacker bobol data KL, solusi: tambah anggara KL BUMN merugi, solusi; tambah anggaran KL  Bidji, tambah terus anggaran yg katanya APBN sedang ngos-ngosan. Di ghosting habis2an poko e... 😵‍💫💫",Kontra
47,"BBM Naik, Politik Subsidi Jokowi Diuji Krisis Energi? Ft. Bambang Harymu...  https://t.co/sQ0NXCcehj via @YouTube",Kontra
48,“Expensive Petroleum”  Mantra saat bbm naik.  https://t.co/K2JAjeuBIe,Kontra
49,"@DrEvaChaniago SMG SEMUA PEJABAT YG TERKAIT DI NAIK KAN NYA BBM, DUSTU SAAT AKAN DITIMPA KESEFIHAN TERDALAM YG LUAR BIASA  BAIK ITU KEHILANGAN SEHAT, ORG2 TERDEKAT, KLUARGA TERCINTA &amp; SEGALANYA. Suatu saat.... Masa itu akan mengintai hidup kalian. AKAN DTG... PASTI",Kontra
50,Semoga dapat meringankan bapak dan ibu.🙏😊  #polresngawi #polisingawiramah #polisiindonesia #polriuntukindonesia #polri #polripresisi #polisibaik #bbmnaik #pemerintah #indonesia Reposted from @polres_ngawi  https://t.co/zJ0kCVpO9h,Kontra
51,"@AbdulKh29602993 @ruhutsitompul Bkn masalah inflasi terjadi dibeberapa negara tp ketika BBM naik akan memicu tingkat inflasi lebih tinggi akibat naiknya harga2. Saat itulah daya beli masyarakat akan menurun,tegak lurus dgn bertambahnya orang miskin.   https://t.co/vBkDY5NhDr",Kontra
52,"Bbm naik, anies turun.  Yg ld ditutupin apa kalo saya boleh tau, mr? @jokowi",Kontra
53,"Saking pinter e dadi goblok. Harga Bbm naik, harga liane melu naek. Harga rokok naek, ra ngaruh ning harga sandang ro pangan suu.",Kontra
54,@DongenakDongora Bbm naik...sambo ntar lagi....,Kontra
55,@detikcom Iya mendengar tapi ga taunya hasilnya bbm tetep naik #kingoflipservice,Kontra
56,"Harga bbm naik ada usulan untuk menggunakan mobil listrik. Gas lpg 3 kg bakalan ditarik tapi warga katanya dapat kompor dan wajan listrik gratis. Rumah yg wattnya 450 bakalan dinaikkan jadi 900.   Mencoba untuk menduga2 kalau ini tu ""proyek listrik""nya orang2 sono.   Lets see",Kontra
57,"@DoankWarto @PKSejahtera Mending PKS, 4 istri (katanya) wajar dong terasa BBM naik. Lalu PDIP yg katanya cukup satu istri (katanya), juga demo berhari-hari dan pakai nangis segala saat masa SBY naikin BBM, pdhl 1 istrikan gak berat. 😃",Kontra
58,"@Ign_CXX @mohmahfudmd Serius tanya, emg kita sebagai rackyat jelata harus ambil tindakan kyk gimana ya buat menghadapi kasus BBM naik ?",Netral
59,"dari kasus sambo, bbm naik, sampe bjorka, jadi bingung mana yg kasus mana yg pengalihan ato malah pengalihan semua😴",Netral
