Waktu,Username,Tweet,Label
13/09/2022 16:32,KacauBalau NegriKu,"RT @duckbusterr: #BBMNaikRakyatRevolusi 

BBM sudah naik
Elpiji sudah naik
👇🏽
Listrik 450 VA untuk rakyat miskin akan dihapus pemerintah, b…",Kontra
13/09/2022 16:32,Piiii,RT @ClubMedioker: Sudahlah Bjorka datang hanya untuk pengalihan isu Kasus Sambo dan BBM naik dan Pemerintah konoha sangat jago bikin sinetr…,Kontra
13/09/2022 16:32,adam,"RT @duckbusterr: #BBMNaikRakyatRevolusi 

BBM sudah naik
Elpiji sudah naik
👇🏽
Listrik 450 VA untuk rakyat miskin akan dihapus pemerintah, b…",Kontra
13/09/2022 16:32,ridho,"RT @tatarsundal: cuma i think this is where they could’ve empathize more, read the room more, apalagi sekarang kondisi ekonomi lagi jelek b…",Kontra
13/09/2022 16:32,Antu,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:32,Amin H 🇮🇩🇵🇸,"RT @abu_waras: Di akhir masa jabatannya ketika BBM Naik, yang Anies pikirkan adalah bagaimana dengan Wargaku...
Wargaku.. https://t.co/XaE5…",Pro
13/09/2022 16:32,Diloch,"RT @tempodotco: Harga BBM Naik, Pakar Sosiologi Unair: Bakal Ada Orang Miskin Baru https://t.co/3UQtMo9ViZ #TempoTekno",Kontra
13/09/2022 16:32,teumenan,"RT @tatarsundal: cuma i think this is where they could’ve empathize more, read the room more, apalagi sekarang kondisi ekonomi lagi jelek b…",Kontra
13/09/2022 16:31,bujang fighter,"sebenernya negeri ini cuma muter muter aja isinya, dari jaman Abdurahman wahid jadi presiden ketika ada isu BBM mau… https://t.co/FFdlHUkrvl",Kontra
13/09/2022 16:31,Thomassen,"RT @DoankWarto: Poligami 4 istri tidak mengeluh, eh giliran harga BBM naik cuma Rp.3000an @PKSejahtera ributnya minta ampun, sampai maksa2…",Pro
13/09/2022 16:31,pev,RT @cudble: bbm naik soalnya skrg petugasnya yeri red velvet https://t.co/5rzCideeSf,Kontra
13/09/2022 16:31,pejilat pantat jokowi,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:31,Windra,"RT @OnlyFrens: Mentang² harga BBM naik, pada ngelunjak semua anjing. https://t.co/qrJdjo4bGF",Kontra
13/09/2022 16:30,Queen,"@susipudjiastuti @Anjing_Peking Pekara BBM naik, emosi juga naik kayaknya bu",Kontra
13/09/2022 16:30,Provinsi Jawa Tengah #ElingLanNgelingke,"RT @dinkopjateng: Sikapi BBM Naik, Ganjar Luncurkan Kredit UMKM Bunga 2 Persen

Surakarta - Merespon kenaikan bahan bakar minyak (BBM), Gub…",Pro
13/09/2022 16:30,ピン,"RT @tatarsundal: cuma i think this is where they could’ve empathize more, read the room more, apalagi sekarang kondisi ekonomi lagi jelek b…",Kontra
13/09/2022 16:29,elang,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:29,Neo,"BBM naik tinggi, solusi: tambah anggaran KL
Hacker bobol data KL, solusi: tambah anggara KL
BUMN merugi, solusi; ta… https://t.co/v9HivNLbRc",Kontra
13/09/2022 16:28,aidy amin,"RT @abu_waras: Di akhir masa jabatannya ketika BBM Naik, yang Anies pikirkan adalah bagaimana dengan Wargaku...
Wargaku.. https://t.co/XaE5…",Pro
13/09/2022 16:28,hanib.rb,RT @ClubMedioker: Sudahlah Bjorka datang hanya untuk pengalihan isu Kasus Sambo dan BBM naik dan Pemerintah konoha sangat jago bikin sinetr…,Kontra
13/09/2022 16:28,unconscioushuman,"BBM Naik, Politik Subsidi Jokowi Diuji Krisis Energi? Ft. Bambang Harymu... https://t.co/sQ0NXCcehj via @YouTube",Kontra
13/09/2022 16:28,SERUAN H7,"RT @Pencerah___: “Jangan saat semua orang sibuk berurusan dengan hal eksistensial, kalian malah sensasional. Mendingan jika yang sensasiona…",Kontra
13/09/2022 16:28,林斐莉 VERY🐯,"“Expensive Petroleum”

Mantra saat bbm naik. https://t.co/K2JAjeuBIe",Kontra
13/09/2022 16:27,Maskur,RT @ClubMedioker: Sudahlah Bjorka datang hanya untuk pengalihan isu Kasus Sambo dan BBM naik dan Pemerintah konoha sangat jago bikin sinetr…,Kontra
13/09/2022 16:27,polobb,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:27,Pharaoh Hidayah,"RT @OnlyFrens: Mentang² harga BBM naik, pada ngelunjak semua anjing. https://t.co/qrJdjo4bGF",Kontra
13/09/2022 16:27,Bocor Doang,"RT @abu_waras: Di akhir masa jabatannya ketika BBM Naik, yang Anies pikirkan adalah bagaimana dengan Wargaku...
Wargaku.. https://t.co/XaE5…",Pro
13/09/2022 16:27,Pecinta Mie ayam,"RT @tatarsundal: cuma i think this is where they could’ve empathize more, read the room more, apalagi sekarang kondisi ekonomi lagi jelek b…",Kontra
13/09/2022 16:27,Shifra Hurin Ain,"@DrEvaChaniago SMG SEMUA PEJABAT YG TERKAIT DI NAIK KAN NYA BBM, DUSTU SAAT AKAN DITIMPA KESEFIHAN TERDALAM YG LUAR… https://t.co/KPMpwTEEZV",Kontra
13/09/2022 16:26,Champlads,"RT @OposisiCerdas: Dari Atas Mobil Komando, BEM UI Ajak Massa Menghadap ke Istana Protes BBM Naik
https://t.co/Q02tyXn8Bi",Kontra
13/09/2022 16:26,jehow?!🤠,"RT @tatarsundal: cuma i think this is where they could’ve empathize more, read the room more, apalagi sekarang kondisi ekonomi lagi jelek b…",Kontra
13/09/2022 16:25,Mjudip,"RT @Pencerah___: “Jangan saat semua orang sibuk berurusan dengan hal eksistensial, kalian malah sensasional. Mendingan jika yang sensasiona…",Kontra
13/09/2022 16:25,Bhimasena,"RT @PartaiSocmed: Jika BBM tidak naik subsidi energi bisa capai 698 triliun, setelah BBM naik subsidi energi justru tembus jadi 700 triliun…",Kontra
13/09/2022 16:25,Udép Sarèë Maté Syahid. #Berbagiituindah🇮🇩❤,"RT @PartaiSocmed: Sebelumnya ancamannya subsidi bisa jebol 600 triliun jika BBM tidak naik, eh setelah harga BBM dinaikkan subsidi malah me…",Kontra
13/09/2022 16:25,Udép Sarèë Maté Syahid. #Berbagiituindah🇮🇩❤,"RT @PartaiSocmed: Kami hapal betul gaya bahasa Pak @jokowi, jika ngeluh2 ga punya duit gitu artinya giliran yg lain yg akan dinaikkan. Tapi…",Kontra
13/09/2022 16:25,Kendariinfo,"Meski terjadi kenaikan harga BBM bersubsidi, Perusahaan Umum (Perum) Badan Urusan Logistik (Bulog) Sulawesi Tenggar… https://t.co/HWrcz9kBGC",Kontra
13/09/2022 16:25,BOBBY AJA,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:25,Biy • L0v3 is Jeff 🦋,"Bbm naik, anies turun.

Yg ld ditutupin apa kalo saya boleh tau, mr? @jokowi",Kontra
13/09/2022 16:24,Soekarno,"RT @ABDULRA89491208: Membuat Cebong mati berdiri, eh cebong sih ga bisa berdiri. Bisa cuman nyimpen kesel dihati BBM naik tinggi akhirnya k…",Kontra
13/09/2022 16:24,who am i ?,"Saking pinter e dadi goblok.
Harga Bbm naik, harga liane melu naek.
Harga rokok naek, ra ngaruh ning harga sandang… https://t.co/WuDzGBNR1k",Kontra
13/09/2022 16:24,Sendal jepit,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:24,Dhessy Maharani,"RT @hs_meliala: Untuk teman2 buruh, tak usah mau ikut2an mogok kerja hanya krn BBM naik. Jgn mau dihasut oleh oknum2 yg mau cari keuntungan…",Kontra
13/09/2022 16:24,mindomie,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:24,Madamdrakula,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
13/09/2022 16:23,Ibu Pertiwi Menangis,"RT @abahgmus: Demi keadilan, 
BBM naik, Rezim Rajiim turun

#BBMNaikRakyatRevolusi https://t.co/wC6k1UNz8t",Kontra
13/09/2022 16:23,Oemar Bakrie,"RT @ZulkifliLubis69: API REVOLUSI SUDAH DI NYALAKAN ... 💪💪💪

Pendemo Tolak BBM Naik Bertahan, Jalan Medan Merdeka Barat Masih Ditutup https…",Kontra
